occ_group,occupation,country,count,occ_total,pct_of_occ,rank
Arts & Culture,academic,United Kingdom,16,98,16.33,1.0
Arts & Culture,academic,France,11,98,11.22,2.0
Arts & Culture,academic,Germany,7,98,7.14,3.0
Arts & Culture,academic,Spain,7,98,7.14,4.0
Arts & Culture,academic,Italy,6,98,6.12,5.0
Arts & Culture,accordionist,Finland,18,103,17.48,1.0
Arts & Culture,accordionist,France,12,103,11.65,2.0
Arts & Culture,accordionist,Slovenia,12,103,11.65,3.0
Arts & Culture,accordionist,Russia,10,103,9.71,4.0
Arts & Culture,accordionist,Czech Republic,8,103,7.77,5.0
Arts & Culture,activist,Spain,33,193,17.1,1.0
Arts & Culture,activist,France,29,193,15.03,2.0
Arts & Culture,activist,United Kingdom,24,193,12.44,3.0
Arts & Culture,activist,Italy,18,193,9.33,4.0
Arts & Culture,activist,Germany,11,193,5.7,5.0
Arts & Culture,actor,United Kingdom,3100,25112,12.34,1.0
Arts & Culture,actor,Italy,2453,25112,9.77,2.0
Arts & Culture,actor,France,2355,25112,9.38,3.0
Arts & Culture,actor,Germany,1995,25112,7.94,4.0
Arts & Culture,actor,Russia,1812,25112,7.22,5.0
Arts & Culture,aesthetician,Czech Republic,13,27,48.15,1.0
Arts & Culture,aesthetician,Spain,3,27,11.11,2.0
Arts & Culture,aesthetician,Germany,2,27,7.41,3.0
Arts & Culture,aesthetician,Austria,1,27,3.7,4.0
Arts & Culture,aesthetician,France,1,27,3.7,5.0
Arts & Culture,aircraft pilot,Russia,22,117,18.8,1.0
Arts & Culture,aircraft pilot,United Kingdom,18,117,15.38,2.0
Arts & Culture,aircraft pilot,Germany,15,117,12.82,3.0
Arts & Culture,aircraft pilot,Sweden,9,117,7.69,4.0
Arts & Culture,aircraft pilot,France,7,117,5.98,5.0
Arts & Culture,american football player,Finland,1,4,25.0,1.0
Arts & Culture,american football player,Italy,1,4,25.0,2.0
Arts & Culture,american football player,Serbia,1,4,25.0,3.0
Arts & Culture,american football player,United Kingdom,1,4,25.0,4.0
Arts & Culture,animator,Czech Republic,37,257,14.4,1.0
Arts & Culture,animator,Russia,33,257,12.84,2.0
Arts & Culture,animator,Netherlands,29,257,11.28,3.0
Arts & Culture,animator,United Kingdom,26,257,10.12,4.0
Arts & Culture,animator,France,24,257,9.34,5.0
Arts & Culture,announcer,Spain,43,79,54.43,1.0
Arts & Culture,announcer,Italy,10,79,12.66,2.0
Arts & Culture,announcer,Russia,10,79,12.66,3.0
Arts & Culture,announcer,Czech Republic,3,79,3.8,4.0
Arts & Culture,announcer,Estonia,3,79,3.8,5.0
Arts & Culture,anthropologist,Spain,24,132,18.18,1.0
Arts & Culture,anthropologist,France,19,132,14.39,2.0
Arts & Culture,anthropologist,United Kingdom,14,132,10.61,3.0
Arts & Culture,anthropologist,Italy,12,132,9.09,4.0
Arts & Culture,anthropologist,Poland,7,132,5.3,5.0
Arts & Culture,archaeologist,Spain,17,96,17.71,1.0
Arts & Culture,archaeologist,United Kingdom,11,96,11.46,2.0
Arts & Culture,archaeologist,Italy,9,96,9.38,3.0
Arts & Culture,archaeologist,Czech Republic,5,96,5.21,4.0
Arts & Culture,archaeologist,France,5,96,5.21,5.0
Arts & Culture,architect,Sweden,272,2506,10.85,1.0
Arts & Culture,architect,Italy,257,2506,10.26,2.0
Arts & Culture,architect,Germany,220,2506,8.78,3.0
Arts & Culture,architect,Poland,209,2506,8.34,4.0
Arts & Culture,architect,Russia,152,2506,6.07,5.0
Arts & Culture,architectural historian,Italy,12,44,27.27,1.0
Arts & Culture,architectural historian,Germany,7,44,15.91,2.0
Arts & Culture,architectural historian,Czech Republic,6,44,13.64,3.0
Arts & Culture,architectural historian,France,3,44,6.82,4.0
Arts & Culture,architectural historian,United Kingdom,3,44,6.82,5.0
Arts & Culture,archivist,Czech Republic,25,72,34.72,1.0
Arts & Culture,archivist,Germany,11,72,15.28,2.0
Arts & Culture,archivist,Spain,10,72,13.89,3.0
Arts & Culture,archivist,Sweden,5,72,6.94,4.0
Arts & Culture,archivist,Russia,3,72,4.17,5.0
Arts & Culture,art collector,France,11,51,21.57,1.0
Arts & Culture,art collector,Germany,11,51,21.57,2.0
Arts & Culture,art collector,United Kingdom,6,51,11.76,3.0
Arts & Culture,art collector,Hungary,4,51,7.84,4.0
Arts & Culture,art collector,Italy,4,51,7.84,5.0
Arts & Culture,art critic,France,29,176,16.48,1.0
Arts & Culture,art critic,Italy,26,176,14.77,2.0
Arts & Culture,art critic,Spain,26,176,14.77,3.0
Arts & Culture,art critic,Czech Republic,15,176,8.52,4.0
Arts & Culture,art critic,Russia,12,176,6.82,5.0
Arts & Culture,art director,Italy,15,54,27.78,1.0
Arts & Culture,art director,France,10,54,18.52,2.0
Arts & Culture,art director,Russia,5,54,9.26,3.0
Arts & Culture,art director,Hungary,4,54,7.41,4.0
Arts & Culture,art director,United Kingdom,3,54,5.56,5.0
Arts & Culture,art educator,Czech Republic,43,145,29.66,1.0
Arts & Culture,art educator,Sweden,17,145,11.72,2.0
Arts & Culture,art educator,Poland,10,145,6.9,3.0
Arts & Culture,art educator,Germany,9,145,6.21,4.0
Arts & Culture,art educator,Estonia,6,145,4.14,5.0
Arts & Culture,art historian,Czech Republic,60,398,15.08,1.0
Arts & Culture,art historian,France,36,398,9.05,2.0
Arts & Culture,art historian,Russia,36,398,9.05,3.0
Arts & Culture,art historian,Germany,30,398,7.54,4.0
Arts & Culture,art historian,Poland,28,398,7.04,5.0
Arts & Culture,art theorist,Czech Republic,28,71,39.44,1.0
Arts & Culture,art theorist,France,8,71,11.27,2.0
Arts & Culture,art theorist,Russia,6,71,8.45,3.0
Arts & Culture,art theorist,Poland,5,71,7.04,4.0
Arts & Culture,art theorist,Belarus,3,71,4.23,5.0
Arts & Culture,artificial intelligence researcher,United Kingdom,3,6,50.0,1.0
Arts & Culture,artificial intelligence researcher,Austria,1,6,16.67,2.0
Arts & Culture,artificial intelligence researcher,France,1,6,16.67,3.0
Arts & Culture,artificial intelligence researcher,Spain,1,6,16.67,4.0
Arts & Culture,artist,Sweden,266,1848,14.39,1.0
Arts & Culture,artist,Germany,241,1848,13.04,2.0
Arts & Culture,artist,United Kingdom,169,1848,9.15,3.0
Arts & Culture,artist,France,154,1848,8.33,4.0
Arts & Culture,artist,Spain,115,1848,6.22,5.0
Arts & Culture,association football manager,Spain,6,36,16.67,1.0
Arts & Culture,association football manager,United Kingdom,4,36,11.11,2.0
Arts & Culture,association football manager,Austria,3,36,8.33,3.0
Arts & Culture,association football manager,France,3,36,8.33,4.0
Arts & Culture,association football manager,Germany,3,36,8.33,5.0
Arts & Culture,association football player,United Kingdom,48,224,21.43,1.0
Arts & Culture,association football player,Germany,22,224,9.82,2.0
Arts & Culture,association football player,Spain,20,224,8.93,3.0
Arts & Culture,association football player,Italy,16,224,7.14,4.0
Arts & Culture,association football player,France,14,224,6.25,5.0
Arts & Culture,astronaut,Russia,14,18,77.78,1.0
Arts & Culture,astronaut,Belarus,2,18,11.11,2.0
Arts & Culture,astronaut,Italy,1,18,5.56,3.0
Arts & Culture,astronaut,Ukraine,1,18,5.56,4.0
Arts & Culture,astronomer,United Kingdom,8,39,20.51,1.0
Arts & Culture,astronomer,Czech Republic,6,39,15.38,2.0
Arts & Culture,astronomer,France,4,39,10.26,3.0
Arts & Culture,astronomer,Netherlands,4,39,10.26,4.0
Arts & Culture,astronomer,Germany,3,39,7.69,5.0
Arts & Culture,astrophysicist,France,5,19,26.32,1.0
Arts & Culture,astrophysicist,United Kingdom,5,19,26.32,2.0
Arts & Culture,astrophysicist,Germany,2,19,10.53,3.0
Arts & Culture,astrophysicist,Italy,1,19,5.26,4.0
Arts & Culture,astrophysicist,Netherlands,1,19,5.26,5.0
Arts & Culture,athlete,Czech Republic,10,53,18.87,1.0
Arts & Culture,athlete,Germany,8,53,15.09,2.0
Arts & Culture,athlete,Poland,8,53,15.09,3.0
Arts & Culture,athlete,Russia,5,53,9.43,4.0
Arts & Culture,athlete,Spain,5,53,9.43,5.0
Arts & Culture,athletics competitor,Germany,11,70,15.71,1.0
Arts & Culture,athletics competitor,Poland,11,70,15.71,2.0
Arts & Culture,athletics competitor,Spain,5,70,7.14,3.0
Arts & Culture,athletics competitor,Estonia,4,70,5.71,4.0
Arts & Culture,athletics competitor,France,4,70,5.71,5.0
Arts & Culture,audio engineer,United Kingdom,28,131,21.37,1.0
Arts & Culture,audio engineer,Russia,21,131,16.03,2.0
Arts & Culture,audio engineer,France,13,131,9.92,3.0
Arts & Culture,audio engineer,Germany,11,131,8.4,4.0
Arts & Culture,audio engineer,Hungary,9,131,6.87,5.0
Arts & Culture,audiobook narrator,Poland,21,64,32.81,1.0
Arts & Culture,audiobook narrator,France,18,64,28.12,2.0
Arts & Culture,audiobook narrator,United Kingdom,9,64,14.06,3.0
Arts & Culture,audiobook narrator,Germany,4,64,6.25,4.0
Arts & Culture,audiobook narrator,Denmark,3,64,4.69,5.0
Arts & Culture,author,Germany,129,609,21.18,1.0
Arts & Culture,author,United Kingdom,75,609,12.32,2.0
Arts & Culture,author,Belgium,63,609,10.34,3.0
Arts & Culture,author,Netherlands,37,609,6.08,4.0
Arts & Culture,author,Norway,37,609,6.08,5.0
Arts & Culture,autobiographer,United Kingdom,141,305,46.23,1.0
Arts & Culture,autobiographer,Germany,43,305,14.1,2.0
Arts & Culture,autobiographer,France,17,305,5.57,3.0
Arts & Culture,autobiographer,Denmark,15,305,4.92,4.0
Arts & Culture,autobiographer,Sweden,15,305,4.92,5.0
Arts & Culture,badminton player,Austria,1,2,50.0,1.0
Arts & Culture,badminton player,Romania,1,2,50.0,2.0
Arts & Culture,ballet dancer,Russia,51,231,22.08,1.0
